x,y
1.0,8.496714153011233
2.0,12.861735698828815
3.0,18.64768853810069
4.0,24.523029856408026
5.0,27.765846625276666
6.0,32.76586304305082
7.0,39.57921281550739
8.0,43.76743472915291
9.0,47.53052561406505
10.0,53.542560043585965
11.0,57.53658230718754
12.0,62.53427024642974
13.0,68.24196227156604
14.0,71.0867197553422
15.0,76.27508216748697
16.0,82.43771247075902
17.0,86.98716887966557
18.0,93.31424733259527
19.0,97.09197592447879
20.0,101.58769629866471
21.0,109.46564876892155
22.0,112.77422369951347
23.0,118.06752820468792
24.0,121.57525181378654
25.0,127.45561727547482
26.0,133.11092258970987
27.0,136.8490064225777
28.0,143.37569801834567
29.0,147.3993613100812
30.0,152.70830625020673
31.0,157.3982933877706
32.0,164.85227818450895
33.0,167.98650277526207
34.0,171.9422890710441
35.0,178.82254491210318
36.0,181.77915635002898
37.0,188.20886359500474
38.0,191.0403298761202
39.0,196.67181395110157
40.0,203.19686123586914
41.0,208.73846657999542
42.0,213.17136828118998
43.0,217.88435171761176
44.0,222.6988963044107
45.0,226.52147800963257
46.0,232.2801557916053
47.0,237.53936122904022
48.0,244.05712222621892
49.0,248.34361828956847
50.0,251.23695984463725
51.0,258.3240839693948
52.0,262.6149177195837
53.0,267.323077999694
54.0,273.61167628884084
55.0,279.03099952249596
56.0,283.9312801191162
57.0,287.16078247677734
58.0,292.6907876241488
59.0,298.33126343140356
60.0,303.97554512712236
61.0,307.5208257621547
62.0,312.81434102333617
63.0,316.893665025994
64.0,321.8037933759193
65.0,328.8125258223942
66.0,334.3562400285708
67.0,337.9279898784197
68.0,344.003532897892
69.0,348.36163602504763
70.0,352.3548802453949
71.0,358.3613956055084
72.0,364.53803656646596
73.0,367.96417396089004
74.0,374.564643655814
75.0,375.38025489591024
76.0,383.8219025043752
77.0,388.0870470682382
78.0,392.70099264953416
79.0,398.0917607765355
80.0,401.0124310853991
81.0,407.78032811216247
82.0,413.3571125715117
83.0,419.4778940447415
84.0,422.48172978172636
85.0,427.1915063971068
86.0,432.4982429564155
87.0,438.91540211770206
88.0,443.32875110965966
89.0,447.470239796233
90.0,453.51326743311336
91.0,458.09707754934806
92.0,463.9686449905329
93.0,467.29794690612266
94.0,472.6723378534022
95.0,477.60789184686786
96.0,481.5364850518679
97.0,488.2961202770646
98.0,493.2610552721799
99.0,498.00511345664245
100.0,502.76541286662484
